ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGRConformance
a81,"Bao nisi me hiwe, fare sosona yokana ya, sosona yokana ya wabise yoro naba me kakiemetemoneni.",bao	na	-risi	me	hi-	awe	fare	sosona	yokana	ya	sosona	yokana	ya	wabise	yoro	na	-haba	me	ka-	ka	-ki	-hemete	-mone	-ni,come_down	AUX	-down.NFIN	3PL.S	OC-	see.M	same.M	place_of_falling	true	ADJU	place_of_falling	true	ADJU	spear(F)	stand	AUX	-FUT.F	3PL.S	COMIT-	come	-coming	-FP.N.F	-REP.F	-BKG.F,They saw it coming down. Two spears would stand right where it came down. The two of them came.,,WORD_ALIGNED
a82,Me kakiemetemoneke.,me	ka-	ka	-ki	-hemete	-mone	-ke,3PL.S	COMIT-	come	-coming	-FP.N.F	-REP.F	-DECL.F,They came.,,WORD_ALIGNED
a83,"Inamati, inamati were kanaka, me, ati na me me, Hiya.",inamati	inamati	were	ka-	na	-ka	me	ati	na	me	me	hiya,spirit(M)	spirit(M)	throw	COMIT-	AUX	-DECL.M	3PL.S	say	AUX.F	3PL.S	3PL	come_on,"""The monster threw someone in something,"" they said. ""Here.""",,WORD_ALIGNED
a84,"Weye hikamisa weye hikamisame ya hiwakimisama, hiwakimisamematamonaka ahi.",weye	hi-	ka-	-misa	weye	hi-	ka-	-misa	-me	ya	hi-	ka-	ka	-misa	-ma	hi-	ka-	ka	-misa	-ma	-himata	-mona	-ka	ahi,carry	OC-	COMIT-	-up.LIST	carry	OC-	COMIT-	-up	-back.NOM.M	ADJU	OC-	COMIT-	go	-up	-back.LIST	OC-	COMIT-	go	-up	-back	-FP.N.M	-REP.M	-DECL.M	then,It put him on its back again in the basket. It went up with him.,,WORD_ALIGNED
a85,"Hiwakimisame, me kafotoke me, wabise me taba nisikimemetemone ahi tokanokomisaharo ahi.",hi-	ka-	ka	-misa	-me	me	ka-	foto	-ke	me	wabise	me	taba	na	-risa	-kima	-hemete	-mone	ahi	to-	ka-	noko	-misa	-haaro	ahi,OC-	COMIT-	go	-up	-back.M	3PL.S	COMIT-	appear	-coming	3PL.S	spear(F)	3PL.S	stick_in	AUX	-down	-two	-FP.N.F	-REP.F	then	away-	COMIT-	point	-up	-IP.E.F	then,It took him up. The two of them appeared. They stuck two spears in the ground. They were standing upright.,,WORD_ALIGNED
a86,Wabise tokanokomisemetemone ama ahi ini famariaro ahi.,wabise	to-	ka-	noko	-misa	-hemete	-mone	ama	ahi	ini	fama	-ri	-haaro	ahi,spear(F)	away-	COMIT-	point	-up	-FP.N.F	-REP.F	SEC	then	point.F	be_two	-raised_surface	-IP.E.F	then,"The spears were pointing up, two together.",,WORD_ALIGNED
a87,"Faya ini famaria me, wabise me taba nisikima me me yoro na me tokome bere hikawitematamonaka.",faya	ini	fama	-ria	me	wabise	me	taba	na	-risa	-kima	me	me	yoro	na	me	to-	ka	-me	bere	hi-	ka-	-wite	-himata	-mona	-ka,so	point.F	be_two	-raised_surface.F	3PL	spear(F)	3PL.S	stick_in	AUX	-down	-two.F	3PL.S	3PL.S	stand	AUX.F	3PL.S	away-	go	-back.M	be_across	OC-	COMIT-	-out	-FP.N.M	-REP.M	-DECL.M,The points were together. They stuck the two spears in the ground. They stood there. It went and took him out on the limb.,,WORD_ALIGNED
a88,"Bere hikawite, Kabokaba nena kakasi raba nahare, hiba.",bere	hi-	ka-	-wite	ka-	boka	-ba	na	-hina	ka-	kasi	raba	na	-hare	hiba,be_across	OC-	COMIT-	-out	COMIT-	enter_water.M	-FUT	AUX	-IRR.M	DUP-	be_naughty	a_bit	AUX	-NEG.M	wait,"It took him out on the limb. ""I want him to go into the water now.""",,WORD_ALIGNED
a89,Tawi hikanematamonaka ahi.,tawi	hi-	ka-	na	-himata	-mona	-ka	ahi,spin	OC-	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M	then,It swung him back and forth.,,WORD_ALIGNED
a90,"Tawi hikane koro, tefe nabakani, kakamakematamonaka ahi.",tawi	hi-	ka-	ne	koro	tefe	na	-ba	-kani	ka-	ka	-make	-himata	-mona	-ka	ahi,spin	OC-	COMIT-	AUX.M	(sound_of_something_being_thrown)	fall_in_water	AUX.M	-FUT	-CNTRFACT	DUP-	come	-following	-FP.N.M	-REP.M	-DECL.M	then,"It swung him back and forth. Koro, it thought he would go into the water, but he came back to the same place.",,WORD_ALIGNED
a91,"Towakame sisssss kobo tokaname, Aa, kakasi raba nahare.",to-	ka-	ka	-me	kobo	to-	ka-	na	-me	aa	ka-	kasi	raba	na	-hare,away-	COMIT-	go	-back.M	arrive	away-	COMIT-	AUX	-back.M	(expression_of_displeasure)	DUP-	be_naughty	a_bit	AUX	-NEG.M,"He went over the water, sisss, and arrived again. ""Aa, there he goes again.""",,WORD_ALIGNED
a92,Kamematamonaka.,ka	-ma	-himata	-mona	-ka,come	-back	-FP.N.M	-REP.M	-DECL.M,It came back.,,WORD_ALIGNED
a93,"Bere name bere name, fare sosona ya wabise yoro na rama ahi.",bere	na	-me	bere	na	-me	fare	sosona	ya	wabise	yoro	na	rama	ahi,be_across	AUX	-back.M	be_across	AUX	-back.M	same.M	place_of_falling	ADJU	spear(F)	stand	AUX.F	unusual	then,It came back on the limb. The two spears were standing at the place where he always landed.,,WORD_ALIGNED
a94,"Wabise yoro na me, kari, beo nebona wabise tasi hine kiya nematamonaka.",wabise	yoro	na	me	kari	beo	na	-hibona	wabise	tasi	hi-	ne	kiya	na	-himata	-mona	-ka,spear(F)	stand	AUX	3PL	(sound_of_dropping)	(sound_of_hitting_ground)	AUX	-INT.M	spear(F)	go_through	OC-	AUX.M	yell	AUX	-FP.N.M	-REP.M	-DECL.M,"The two spears were upright. It dropped, and when it was going to hit the ground, the spears went through it, and it cried out.",,WORD_ALIGNED
a95,"Aya aya aya, kiya kanematamonaka.",aya	aya	aya	kiya	ka-	na	-himata	-mona	-ka,(expression_of_pain)	(expression_of_pain)	(expression_of_pain)	yell	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M,"""Aya, aya, aya."" It cried out.",,WORD_ALIGNED
a96,"Toharisaba ne rama wabise mate ka ya ahi, sona raba namako.",to-	iha	-risa	-baa	ne	rama	wabise	mate	ka	ya	ahi	sona	raba	na	-mako,away-	be_located	-down	-at_a_distance	AUX.M	unusual	spear(F)	base.F	LOC	ADJU	then	fall	a_bit	AUX	-for_this_reason.M,"It went right down to the hilts of the spears, because it fell hard.",,WORD_ALIGNED
a97,"Faya kiya kane, me fito hikanamaki me hinabowame, me hinabowematamonaka ahi.",faya	kiya	ka-	ne	me	fito	hi-	ka-	na	-maki	me	hi-	naabowa	-me	me	hi-	naabowa	-himata	-mona	-ka	ahi,so	yell	COMIT-	AUX.M	3PL.S	rush	OC-	COMIT-	AUX	-following.M	3PL.S	OC-	kill	-back.M	3PL.S	OC-	kill	-FP.N.M	-REP.M	-DECL.M	then,"It cried out. They rushed it, and finished it off. They killed it.",,WORD_ALIGNED
a98,"Ahabe ya, abematamonaka.",ahabe	ya	ahaba	-himata	-mona	-ka,die.NOM.M	ADJU	die	-FP.N.M	-REP.M	-DECL.M,It died.,,WORD_ALIGNED
a99,"Abe ya me, me hekitimake me hiwakame, Hee, himata ebe tinahani?",ahabe	ya	me	me	hi-	ka-	iti	-make	me	hi-	ka-	ka	-me	hee	himata	ebe	ti-	na	-hani,die.NOM.M	ADJU	3PL	3PL.S	OC-	COMIT-	pick_up	-following	3PL.S	OC-	COMIT-	come	-back.M	hey	what?	happen_to	2SG.S-	AUX	-IP.N.F,"When it died, they went and got him, and brought him back. ""Hey, what happened to you?""",,WORD_ALIGNED
a100,Tiwa wateino ama?,tiwa	wata	-hino	ama,2SG.O	catch	-IP.N.M	SEC,"""Did it capture you?""",,WORD_ALIGNED
a101,Owa wate amaka ahi.,owa	wate	ama	-ka	ahi,1SG.O	catch.M	SEC	-DECL.M	then,"""It captured me.""",,WORD_ALIGNED
a102,Waino ama ahi.,wai	-no	ama	ahi,stand.NOM	-IP.N.M	be	there,"""It was there on the ground.""",,WORD_ALIGNED
a103,Waino ya owa were kanaka ahi.,wai	-no	ya	owa	were	ka-	na	-ka	ahi,stand.NOM	-IP.N.M	ADJU	1SG.O	throw	COMIT-	AUX	-DECL.M	then,"""It threw me from where it was.""",,WORD_ALIGNED
a104,"Waino ama ahi, mase hi ni tohahari.",wai	-no	ama	ahi	mase	hii	ni	to-	ha	-haari,stand.NOM	-IP.N.M	be	there	curassow(M)	call	AUX.NFIN	CH-	be	-IP.E.M,"""It was there making the call of a curassow.""",,WORD_ALIGNED
a105,Mase hi ni toenoka.,mase	hii	ni	to-	ha	-hino	-ka,curassow(M)	call	AUX.NFIN	CH-	be	-IP.N.M	-DECL.M,"""It was making the call of a curassow.""",,WORD_ALIGNED
a106,Owareno obatasi ka ya owa watareka.,o-	awa	-ra	-hino	o-	batasi	ka	ya	owa	wata	-hare	-ka,1SG.S-	see	-NEG	-IP.N.M	1SG.POSS-	middle_of_back	LOC	ADJU	1SG.O	catch	-IP.E.M	-DECL.M,"""I didn't see it, and it captured me from behind.""",,WORD_ALIGNED
a107,"Faya me, me, Homahari ha.",faya	me	me	homa	-haari	haa,so	3PL	3PL	lie_on_ground	-look.M	DEM,"""There it is, lying on the ground.""",,WORD_ALIGNED
a108,Tiwa ha.,ti-	awa	haa,2SG.S-	see	DEM,"""Look at it.""",,WORD_ALIGNED
a109,Homakane.,homa	-kane,lie_on_ground	-(?).M,"""Look at it lying there.""",,WORD_ALIGNED
a110,Kose mati amoamosa nematamonaha.,kose_mati	amo-	amosa	na	-himata	-mona	-ha,name_of_monster(M)	DUP-	be_good	AUX	-FP.N.M	-REP.M	-DUP,"""The kose mati is huge.""",,WORD_ALIGNED
a111,Ota kabebanaka.,otaa	kaba	-hibana	-ka,1EX.O	eat	-FUT.M	-DECL.M,"""We will eat it.""",,WORD_ALIGNED
a112,Faya he me he me katisemetemoneke fahi.,faya	hee	me	hee	me	ka-	tisa	-hemete	-mone	-ke	fahi,so	3SG.O	3PL	3SG.O	3PL.S	COMIT-	undo	-FP.N.F	-REP.F	-DECL.F	then,Then they untied him.,,WORD_ALIGNED
a113,"He me katisa noko me hikatise, me fito hinihe Afi tinahi.",hee	me	ka-	tisa	noko	me	hi-	ka-	tise	me	fito	hi-	nihe	afi	ti-	na	-hi,3SG.O	3PL.S	COMIT-	undo.F	face.M	3PL.S	OC-	COMIT-	undo.M	3PL.S	rush	OC-	CAUS.M	bathe	2SG.S-	AUX	-IMP.F,"They untied him. They untied the basket over his face. They let him out. ""Go take a bath.""",,WORD_ALIGNED
a114,Timo kitake.,ti-	maho	kita	-ke,2SG.POSS-	smell	be_strong	-DECL.F,"""You smell bad.""",,WORD_ALIGNED
a115,Tiwa mi narene.,tiwa	mii	na	-hare	-ne,2SG.O	defecate_on	AUX	-IP.E.M	-BKG.M,"""It defecated on you.""",,WORD_ALIGNED
a116,"Afi nebona tokifiwame afi ne, afi nematamonaka.",afi	na	-hibona	to-	ka	-fi	-waha	-me	afi	ne	afi	na	-himata	-mona	-ka,bathe	AUX	-INT.M	away-	go	-water	-change	-back.M	bathe	AUX.M	bathe	AUX	-FP.N.M	-REP.M	-DECL.M,He went to the water to bathe. He bathed.,,WORD_ALIGNED
a117,"Afi ne, afi ni, afi ni hawa toe ya kimisamematamona.",afi	ne	afi	ni	afi	ni	hawa	to-	he	ya	ka	-misa	-ma	-himata	-mona,bathe	AUX.M	bathe	AUX.NFIN	bathe	AUX.NFIN	be_finished	CH-	AUX.NOM.M	ADJU	come	-up	-back	-FP.N.M	-REP.M,"He bathed. When he finished bathing, he came onto the shore.",,WORD_ALIGNED
a118,"Kimisame, kimisamematamonaka.",ka	-misa	-me	ka	-misa	-ma	-himata	-mona	-ka,come	-up	-back.M	come	-up	-back	-FP.N.M	-REP.M	-DECL.M,He came onto the shore.,,WORD_ALIGNED
a119,"Kimisame ya, Oof owa te kasomake.",ka	-misa	-me	ya	oof	owa	tee	ka-	soma	-ke,come	-up	-back.NOM.M	ADJU	hoo	1SG.O	2PL.S	COMIT-	help	-DECL.F,"He came onto the shore. ""Hoo, you saved me.""",,WORD_ALIGNED
a120,Tika ha ni tika ha ni ota mita otake.,ti-	ka	haa	ni	ti-	ka	haa	ni	otaa	mita	otaa	-ke,2SG.POSS-	POSS	call	AUX.NFIN	2SG.POSS-	POSS	call	AUX.NFIN	1EX.S	hear.F	1EX.S	-DECL.F,"""We heard you calling.""",,WORD_ALIGNED
a121,Tika ha ni ota mita otani.,ti-	ka	haa	ni	otaa	mita	otaa	-ni,2SG.POSS-	POSS	call	AUX.NFIN	1EX.S	hear.F	1EX.S	-BKG.F,"""We heard you calling.""",,WORD_ALIGNED
a122,"Ha tina tika ha ni ota mitimakoni ota kakia, tiwa ota wasikineke.",haa	ti-	na	ti-	ka	haa	ni	otaa	mita	-makoni	otaa	ka-	ka	-kia	tiwa	otaa	wasi	-ki	-ne	-ke,call	2SG.S-	AUX.F	2SG.POSS-	POSS	call	AUX.NFIN	1EX.S	hear	-for_this_reason.F	1EX.S	COMIT-	come	-coming.F	2SG.O	1EX.S	find	-coming	-CONT.F	-DECL.F,"""When you called, we heard you calling, and for this reason we came and found you.""",,WORD_ALIGNED
a123,Tiwa ota wasia tiwa ota kasoma.,tiwa	otaa	wasiha	tiwa	otaa	ka-	soma,2SG.O	1EX.S	find.F	2SG.O	1EX.S	COMIT-	help.F,"""We found you, and saved you.""",,WORD_ALIGNED
a124,Tiwa kabene amake.,tiwa	kaba	-hene	ama	-ke,2SG.O	eat	-IRR.F	SEC	-DECL.F,"""It would have eaten you.""",,WORD_ALIGNED
a125,Tiwa kabene amani.,tiwa	kaba	-hene	ama	-ni,2SG.O	eat	-IRR.F	SEC	-BKG.F,"""It would have eaten you.""",,WORD_ALIGNED
a126,Tiwa kabehene amake.,tiwa	kaba	-hene	ama	-ke,2SG.O	eat	-IRR.F	SEC	-DECL.F,"""It would have eaten you.""",,WORD_ALIGNED
a127,Tiwa nabowehene amake.,tiwa	naabowa	-hene	ama	-ke,2SG.O	kill	-IRR.F	SEC	-DECL.F,"""It would have killed you.""",,WORD_ALIGNED
a128,"Tiwa nabowehene tiwa, tiwa ota kasomineke.",tiwa	naabowa	-hene	tiwa	tiwa	otaa	ka-	soma	-ne	-ke,2SG.O	kill	-IRR.F	2SG.O	2SG.O	1EX.S	COMIT-	help	-CONT.F	-DECL.F,"""It would have killed you. We saved you.""",,WORD_ALIGNED
a129,Hasi tina tikamahi.,hasi	ti-	na	ti-	ka	-ma	-hi,escape	2SG.S-	AUX.F	2SG.S-	go	-back	-IMP.F,"""You have escaped, now go home.""",,WORD_ALIGNED
a130,Tikamahi.,ti-	ka	-ma	-hi,2SG.S-	go	-back	-IMP.F,"""Go home.""",,WORD_ALIGNED
a131,Ota towakamiba.,otaa	to-	ka-	ka	-ma	-baha,1EX.S	away-	COMIT-	go	-back	-before.F,"""We will take it away.""",,WORD_ALIGNED
a132,Ota kabibe.,otaa	kaba	-be,1EX.S	eat	-IMMED.F,"""We will eat it.""",,WORD_ALIGNED
a133,Te kabiya.,tee	kaba	-yahi,2PL.S	eat	-DIST.IMP.F,"""You eat it.""",,WORD_ALIGNED
a134,Owa owa wataharake.,owa	owa	wata	-hara	-ke,1SG.O	1SG.O	catch	-IP.E.F	-DECL.F,"""It captured me.""",,WORD_ALIGNED
a135,Awaawa orahani.,awa-	awa	o-	-ra	-hani,DUP-	see	1SG.S-	-NEG	-IP.N.F,"""I didn't see it.""",,WORD_ALIGNED
a136,Obatasi ka ya owa wata amake.,o-	batasi	ka	ya	owa	wata	ama	-ke,1SG.POSS-	middle_of_back	LOC	ADJU	1SG.O	catch.F	SEC	-DECL.F,"""It captured me from behind.""",,WORD_ALIGNED
a137,Faya me towakamemetemoneke.,faya	me	to-	ka-	ka	-ma	-hemete	-mone	-ke,so	3PL.S	away-	COMIT-	go	-back	-FP.N.F	-REP.F	-DECL.F,Then the two of them went away.,,WORD_ALIGNED
a138,"Tokome nowati ya me towakama me tiwa himisa me, me tiwa himisa me towakama me hikabemetemone.",to-	ka	-me	nowati	ya	me	to-	ka-	ka	-ma	me	tiwa	hi-	-misa	me	me	tiwa	hi-	-misa	me	to-	ka-	ka	-ma	me	hi-	kaba	-hemete	-mone,away-	go	-back.M	after	ADJU	3PL.S	away-	COMIT-	go	-back.F	3PL.S	carry	OC-	-up.F	3PL	3PL.S	carry	OC-	-up.F	3PL.S	away-	COMIT-	go	-back.F	3PL.S	OC-	eat	-FP.N.F	-REP.F,"After he left, they left. They put it on their shoulders, and went, and ate it.",,WORD_ALIGNED
a139,Hoo inamati inamati were kane ota nabowe ota kakamineke.,hoo	inamati	inamati	were	ka-	ne	otaa	na-	abohe	otaa	ka-	ka	-ma	-ne	-ke,whew	someone(M)	someone(M)	throw	COMIT-	AUX.M	1EX.S	CAUS-	die.M	1EX.S	COMIT-	come	-back	-CONT.F	-DECL.F,"""Whew, it threw the man, and we killed it, and we are bringing it.""",,WORD_ALIGNED
a140,"Inamati inamati were kane ota, nabowe ota kakamine, me hina, faya me hikabemetemone fahi.",inamati	inamati	were	ka-	ne	otaa	na-	abohe	otaa	ka-	ka	-ma	-ne	me	hi-	na	faya	me	hi-	kaba	-hemete	-mone	fahi,someone(M)	someone(M)	throw	COMIT-	AUX.M	1EX.S	CAUS-	die.M	1EX.S	COMIT-	come	-back	-CONT.F	3PL.S	OC-	say.F	so	3PL.S	OC-	eat	-FP.N.F	-REP.F	then,"""It threw the man, and we killed it, and we are bringing it,"" they said. They ate it.",,WORD_ALIGNED
a141,Tasi tonamematamonaka.,tasi	to-	na	-ma	-himata	-mona	-ka,emerge	away-	AUX	-back	-FP.N.M	-REP.M	-DECL.M,He arrived back.,,WORD_ALIGNED
a142,Hoo inamati owa were kanaba owa watani okomine oke.,hoo	inamati	owa	were	ka-	na	-haba	owa	wata	-hani	o-	ka	-ma	-ne	o-	ke,whew	spirit(M)	1SG.O	throw	COMIT-	AUX	-FUT.F	1SG.O	catch	-IP.N.F	1SG.S-	come	-back	-CONT.F	1SG.S-	DECL.F,"""Whew, a spirit captured me to throw me, and I have come back.""",,WORD_ALIGNED
a143,"Inamati, watore tinani tiwa awine ti bati ati nematamonaka.",inamati	watore	ti-	na	-hani	tiwa	awine	ti	bati	ati	na	-himata	-mona	-ka,spirit(M)	forget	2SG.S-	AUX	-IP.N.F	2SG.S	seem.F	2SG.S	3SG.POSS.father(M)	say	AUX	-FP.N.M	-REP.M	-DECL.M,"""You were not wary,"" his father said.",The word inamati is a false start.,WORD_ALIGNED
a144,Kose mati toa awine kose mati.,kose_mati	to-	ha	awine	kose_mati,name_of_monster(M)	CH-	be.F	seem.F	name_of_monster(M),"""It must have been a kose mati.""","At various points in the story, Siko switches back and forth between masculine and feminine agreement for the monster.",WORD_ALIGNED
a145,"Inamati wehinoka wasina habi ya, mase hi ni hiri ne tonokomisari ahi.",inamati	waa	-hino	-ka	wasina	habi	ya	mase	hii	ni	hiri	ne	to-	noko	-misa	-haari	ahi,spirit(M)	stand	-IP.N.M	-DECL.M	kapok(F)	root.F	ADJU	curassow(M)	call	AUX.NFIN	make	AUX.M	away-	point	-up	-IP.E.M	then,"""The monster was standing among the buttress roots of a kapok tree, looking up and calling like a curassow.""",,WORD_ALIGNED
a146,Tonokomiseno ki one obatasi ka owawitebone obatasi owa watareka.,to-	noko	-misa	-hino	kii	o-	ne	o-	batasi	ka	o-	waa	-wite	-habone	o-	batasi	owa	wata	-hare	-ka,away-	point	-up	-IP.N.M	look_at	1SG.S-	AUX.M	1SG.POSS-	middle_of_back	LOC	1SG.S-	stand	-out	-INT.F	1SG.POSS-	middle_of_back	1SG.O	catch	-IP.E.M	-DECL.M,"""It was looking up. I was looking at it, and when I changed my position, it captured me from behind.""",The words obatasi ka are a false start.,WORD_ALIGNED
a147,Kose mati tohe awane.,kose_mati	to-	he	awa	-ne,name_of_monster(M)	CH-	be.M	seem.M	-BKG.M,"""It must have been a kose mati.""",,WORD_ALIGNED
a148,Oof totoka tihahi waha ya.,oof	to-	to-	ka	ti-	ha	-hi	waha	ya,hoo	DUP-	away-	go	2SG.S-	AUX	-IMP.F	flooded_forest(F)	ADJU,"""You shouldn't go to the flooded forest.""",,WORD_ALIGNED
a149,Yama watemone amani waha ya.,yama	wata	-hamone	ama	-ni	waha	ya,thing(F)	be_located	-REP.F	SEC	-BKG.F	flooded_forest(F)	ADJU,"""The monster is there in the flooded forest.""",,WORD_ALIGNED
a150,Waha ya watemona me na hihehimari amane tiwa wata nanoho.,waha	ya	wata	-himona	me	na	hi-	ha	-himari	ama	-ne	tiwa	wata	na	-no	-ho,flooded_forest(F)	ADJU	be_located	-REP.M	3PL.S	say	OC-	AUX	-FP.E.M	SEC	-BKG.M	2SG.O	catch.CONT.M	AUX.NOM.M	-IP.N.M	-DUP,"""People used to say long ago that it is in the flooded forest, and now it captured you.""","Although the indirect quote margin means 'people used to say' as indicated, the word na is not actually a verb meaning 'say'. The verb of the clause is ati na 'say', but there is a morphophonological rule that applies when this verb is used in the iterative construction, and there is a person prefix, in this case hi- (Dixon 2004:118). I have glossed the auxiliary na as 'say' in order to make things easier for the reader. When the rule does not apply, i.e. when there is no person prefix, the reduplicated root aati appears instead of the auxiliary, as in sentence (61) of ""The First Corn"".",WORD_ALIGNED
a151,Owa wate owa were kane me inamati owa kasoma me towakamarake.,owa	wate	owa	were	ka-	ne	me_inamati	owa	ka-	soma	me	to-	ka-	ka	-ma	-hara	-ke,1SG.O	catch.M	1SG.O	throw	COMIT-	AUX.M	spirits(F)	1SG.O	COMIT-	help.F	3PL.S	away-	COMIT-	go	-back	-IP.E.F	-DECL.F,"""It captured me, and threw me. Two spirits saved me, and then went away.""",,WORD_ALIGNED
a152,Owa me kasoma me towakamarake.,owa	me	ka-	soma	me	to-	ka-	ka	-ma	-hara	-ke,1SG.O	3PL.S	COMIT-	help.F	3PL.S	away-	COMIT-	go	-back	-IP.E.F	-DECL.F,"""They saved me, and then went away.""",,WORD_ALIGNED
a153,Owa owa tiwarene ama tike.,owa	owa	ti-	awa	-ra	-hene	ama	ti-	ke,1SG.O	1SG.O	2SG.S-	see	-NEG	-IRR.F	SEC	2SG.S-	DECL.F,"""You wouldn't have seen me anymore.""",,WORD_ALIGNED
a154,Owa wete kanareka isiri ya.,owa	wete	ka-	na	-hare	-ka	isiri	ya,1SG.O	tie	COMIT-	AUX	-IP.E.M	-DECL.M	basket(F)	ADJU,"""It tied me in a basket.""",,WORD_ALIGNED
a155,Ha onamone onoko mi hina ama haro.,haa	o-	na	-hamone	o-	noko	mii	hi-	na	ama	haaro,call	1SG.S-	AUX	-REP.F	1SG.POSS-	face	defecate_on	OC-	AUX.F	SEC	that_one.F,"""It defecated on my face, because it said I was calling out.""","The fact that the prefix hi- is present in mi hina shows that the O is third person. The O is onoko, so the hi- shows that onoko is a third person NP even though it is an inalienably possessed noun with a first person singular possessor. That is, the possessor does not determine the person of the NP. See the discussion in Dixon (2004:288f).",WORD_ALIGNED
a156,Iyo wani ama ahi.,iyo	wani	ama	ahi,feces(F)	be_attached.NOM.F	SEC	then,"""There were feces on my face.""",,WORD_ALIGNED
a157,"Onoko mi ne owa towakimisamatase, owa koro tokowite, okobokabone owa.",o-	noko	mii	ne	owa	to-	ka-	ka	-misa	-ma	-tase	owa	koro	to-	ka-	-wite	o-	ka-	boka	-habone	owa,1SG.POSS-	face	defecate_on	AUX.M	1SG.O	away-	COMIT-	go	-up	-back	-again.M	1SG.O	throw	away-	COMIT-	-out	1SG.S-	COMIT-	enter_water	-INT.F	1SG.S,"""It defecated on my face. It took me back up again in the tree, and threw me, so I would go into the water.""",,WORD_ALIGNED
a158,Fa boti ihi ohabone ati narene.,faha	boti	ihi	o-	ha	-habone	ati	na	-hare	-ne,water(F)	inside	victim_of.F	1SG.S-	be	-INT.F	say	AUX	-IP.E.M	-BKG.M,"""It wanted me to drown.""",,WORD_ALIGNED
a159,"Faya okabokabone ati ne, kaboki owatorara oke.",faya	o-	ka-	boka	-habone	ati	ne	ka-	boki	o-	wato	-ra	-hara	o-	ke,so	1SG.S-	COMIT-	enter_water	-INT.F	say	AUX.M	COMIT-	enter_water.NFIN	1SG.S-	know	-NEG	-IP.E.F	1SG.S-	DECL.F,"""It wanted me to go in the water, but I couldn't go in the water.""",,WORD_ALIGNED
a160,Kaboki owatorimakoni hasi one oni.,ka-	boki	o-	wato	-ra	-makoni	hasi	o-	-ne	o-	ni,COMIT-	enter_water.NFIN	1SG.S-	know	-NEG	-for_this_reason.F	escape	1SG.S-	-CONT.F	1SG.S-	BKG.F,"""Because I couldn't go in the water, I survived.""",,WORD_ALIGNED
a161,Faya hasi onara fahi.,faya	hasi	o-	na	-hara	fahi,so	escape	1SG.S-	AUX	-IP.E.F	then,"""I survived.""",,WORD_ALIGNED
a162,"Oko ha ni me mitahani owa me nakiani me, i kiya kanarake okowitabasa owa ni ya.",o-	ka	haa	ni	me	mita	-hani	owa	me	na-	ka	-ki	-hani	me	ihi	kiya	ka-	na	-hara	-ke	o-	ka-	ita	-basa	owa	ni	ya,1SG.POSS-	POSS	call	AUX.NFIN	3PL.S	hear	-IP.N.F	1SG.O	3PL.S	CAUS-	come	-coming	-IP.N.F	3PL.POSS	result_of.F	yell	COMIT-	AUX	-IP.E.F	-DECL.F	DUP-	COMIT-	sit	-edge.F	1SG	to	ADJU,"""They heard me calling, and came after me. Because of them the monster cried out, as I was in the basket on the edge of the lake.""",,WORD_ALIGNED
a163,"Kosi abono me kosi abono memone me ati na me, kosi abono me, owa me kasoma me towakamarake.",kosi	abono	me	kosi	abono	me	-mone	me	ati	na	me	kosi	abono	me	owa	me	ka-	soma	me	to-	ka-	ka	-ma	-hara	-ke,palm_sp(M)	spirit	3PL	palm_sp(M)	spirit	3PL	-REP.F	3PL.S	say	AUX.F	3PL.S	palm_sp(M)	spirit	3PL.S	1SG.O	3PL.S	COMIT-	help.F	3PL.S	away-	COMIT-	go	-back	-IP.E.F	-DECL.F,"""They said they were spirits of the kosi palm. The two kosi spirits saved me, and then went away.""",,WORD_ALIGNED
a164,Okoma tasi onamine o.,o-	ka	-ma	tasi	o-	na	-ma	-ne	o,1SG.S-	come	-back.F	emerge	1SG.S-	AUX	-back	-CONT.F	1SG.S,"""I came back, and appeared.""",,WORD_ALIGNED
a165,Owa te awamarene te amake.,owa	tee	awa	-ma	-ra	-hene	tee	ama	-ke,1SG.O	2PL.S	see	-back	-NEG	-IRR.F	2PL.S	SEC	-DECL.F,"""You wouldn't have seen me anymore.""",,WORD_ALIGNED
a166,Oabene ama oni fa boti ya.,o-	ahaba	-hene	ama	o-	ni	faha	boti	ya,1SG.S-	die	-IRR.F	SEC	1SG.S-	BKG.F	water(F)	inside	ADJU,"""I would have died in the depths of the water.""",,WORD_ALIGNED
a167,Faha boti ya ohabene ama oke.,faha	boti	ya	o-	ahaba	-hene	ama	o-	ke,water(F)	inside	ADJU	1SG.S-	die	-IRR.F	SEC	1SG.S-	DECL.F,"""I would have died in the water.""",,WORD_ALIGNED
a168,"Haha okomina te mitaharo, okoyo okoyo hikaraboemetemone?",haaha	o-	kamina	tee	mita	-haro	okoyo	okoyo	hi-	karaboha	-hemete	-mone,this.F	1SG.S-	tell.F	2PL.S	hear	-RP.E.F	my_older_brother(M)	my_older_brother(M)	OC-	shoot_with_blowgun	-FP.N.F	-REP.F,"Did you already hear the one I told, about what my older brother shot with a blowgun?",,WORD_ALIGNED
a169,Afa okomina te mitaroke.,afa	o-	kamina	tee	mita	-haro	-ke,this.F	1SG.S-	tell.F	2PL.S	hear	-RP.E.F	-DECL.F,"I told it, and you heard it.",,WORD_ALIGNED
